borrower_id,provider,occupation,wallet_active_days_ratio_90d,wallet_txn_count_90d,wallet_txn_count_30d,wallet_days_since_last_txn,wallet_topup_count_90d,wallet_topup_avg_amount,wallet_topup_frequency_per_month,wallet_bill_payment_count_90d,wallet_bill_payment_share,wallet_distinct_billers_90d,wallet_avg_balance,wallet_inflow_outflow_ratio,wallet_txn_amount_volatility,default_label
PK000077,SadaPay,rickshaw_driver,0.2778,30,5,8,18,167.29,6.0,2,0.0667,1,703.54,2.8498,1428.97,0
PK000078,Easypaisa,delivery_rider,0.1667,17,9,11,7,73.15,2.33,2,0.1176,1,-1428.73,0.0233,1400.17,0
PK000079,SadaPay,daily_wage_laborer,0.2667,25,12,1,6,129.24,2.0,2,0.08,1,-734.29,0.3838,1302.92,0
PK000080,JazzCash,street_vendor,0.3444,41,9,4,23,123.15,7.67,2,0.0488,1,29.84,1.0575,980.23,1
PK000081,SadaPay,domestic_worker,0.1889,18,4,2,6,77.13,2.0,6,0.3333,3,-191.34,0.682,896.51,0
PK000082,Easypaisa,small_shopkeeper,0.2444,28,8,2,19,129.79,6.33,1,0.0357,1,585.74,2.4963,1455.9,0
PK000083,JazzCash,delivery_rider,0.3333,33,9,2,16,88.44,5.33,5,0.1515,3,-309.98,0.5151,1009.7,1
PK000084,NayaPay,street_vendor,0.3111,33,10,6,17,112.81,5.67,2,0.0606,2,-116.67,0.8304,1231.7,0
PK000085,NayaPay,domestic_worker,0.3444,36,11,3,18,117.51,6.0,4,0.1111,2,-111.8,0.8,1077.75,0
PK000086,NayaPay,domestic_worker,0.2111,19,8,0,12,109.22,4.0,3,0.1579,1,-771.71,0.0821,1541.82,0
PK000087,SadaPay,daily_wage_laborer,0.4111,44,15,2,28,131.65,9.33,1,0.0227,1,63.54,1.1606,862.93,0
PK000088,NayaPay,domestic_worker,0.3111,35,10,6,23,145.14,7.67,4,0.1143,2,-153.63,0.6995,904.83,0
PK000089,SadaPay,delivery_rider,0.1667,16,10,2,13,113.33,4.33,1,0.0625,1,-305.81,0.2431,794.05,0
PK000090,Easypaisa,rickshaw_driver,0.4111,48,15,0,27,177.56,9.0,2,0.0417,1,-54.03,0.9252,1197.77,1
PK000091,Easypaisa,delivery_rider,0.3333,43,14,0,25,208.11,8.33,4,0.093,2,-567.16,0.3826,948.56,0
PK000092,NayaPay,rickshaw_driver,0.2222,26,10,2,18,118.76,6.0,2,0.0769,1,-15.01,0.9754,1335.84,0
PK000093,SadaPay,rickshaw_driver,0.2,24,6,2,12,115.06,4.0,5,0.2083,2,-571.61,0.4924,1598.53,1
PK000094,JazzCash,delivery_rider,0.2333,25,11,1,19,131.98,6.33,2,0.08,1,-449.7,0.379,1295.1,1
PK000095,Easypaisa,delivery_rider,0.1889,20,10,0,12,142.37,4.0,4,0.2,2,-620.01,0.386,1484.97,0
PK000096,Easypaisa,domestic_worker,0.3556,39,12,1,24,153.83,8.0,5,0.1282,2,-492.56,0.2749,848.39,0
PK000097,SadaPay,rickshaw_driver,0.1444,14,7,5,4,69.84,1.33,4,0.2857,2,-582.52,0.5112,1397.66,0
PK000098,JazzCash,daily_wage_laborer,0.1778,17,4,5,6,62.81,2.0,3,0.1765,1,182.24,1.249,1355.89,0
PK000099,NayaPay,domestic_worker,0.3444,35,9,1,19,133.89,6.33,3,0.0857,2,267.71,1.8784,850.76,0
PK000100,Easypaisa,domestic_worker,0.3222,38,14,7,21,185.26,7.0,5,0.1316,2,-473.06,0.4236,1081.93,1
PK000101,Easypaisa,daily_wage_laborer,0.2333,28,18,1,14,137.51,4.67,4,0.1429,3,-257.5,0.6922,1236.38,0
PK000102,SadaPay,daily_wage_laborer,0.3444,36,10,3,17,185.91,5.67,3,0.0833,1,-210.35,0.7126,1403.84,0
PK000103,NayaPay,street_vendor,0.2667,28,9,9,14,100.2,4.67,4,0.1429,2,-552.13,0.3638,1036.42,0
PK000104,NayaPay,rickshaw_driver,0.3,34,10,10,20,148.66,6.67,7,0.2059,3,-945.58,0.1043,1275.0,1
PK000105,SadaPay,rickshaw_driver,0.1333,12,1,0,5,90.8,1.67,1,0.0833,1,690.56,3.6223,1253.56,0
PK000106,SadaPay,rickshaw_driver,0.3111,38,13,0,19,168.57,6.33,4,0.1053,3,21.51,1.0281,1166.42,0
PK000107,NayaPay,small_shopkeeper,0.3111,33,13,6,15,134.11,5.0,3,0.0909,1,-492.5,0.5902,1611.37,0
PK000108,Easypaisa,street_vendor,0.2889,31,15,0,11,112.04,3.67,6,0.1935,3,-249.28,0.6728,1063.64,0
PK000109,JazzCash,small_shopkeeper,0.2444,22,10,3,10,113.23,3.33,1,0.0455,1,537.22,1.9005,1822.93,0
PK000110,Easypaisa,daily_wage_laborer,0.2333,23,8,6,11,93.97,3.67,3,0.1304,2,-382.8,0.3505,709.25,0
PK000111,NayaPay,small_shopkeeper,0.2556,29,12,1,15,120.1,5.0,4,0.1379,2,399.83,1.4191,1987.94,0
PK000112,NayaPay,daily_wage_laborer,0.2778,27,8,3,11,91.29,3.67,6,0.2222,2,-521.62,0.4213,1204.72,0
PK000113,NayaPay,street_vendor,0.1778,17,7,0,6,63.02,2.0,4,0.2353,2,-1218.63,0.019,1216.41,0
PK000114,NayaPay,street_vendor,0.3111,32,11,0,17,105.27,5.67,4,0.125,2,130.05,1.2766,1141.69,0
PK000115,JazzCash,daily_wage_laborer,0.3333,42,21,1,17,128.92,5.67,6,0.1429,3,-306.04,0.6733,1051.5,0
PK000116,Easypaisa,rickshaw_driver,0.3222,43,20,0,17,172.27,5.67,5,0.1163,2,338.99,1.3329,1364.58,0
PK000117,SadaPay,small_shopkeeper,0.2222,22,11,3,13,127.53,4.33,1,0.0455,1,377.61,1.688,1642.16,0
PK000118,NayaPay,rickshaw_driver,0.2556,28,7,4,10,100.42,3.33,0,0.0,0,-211.01,0.7811,1153.77,0
PK000119,NayaPay,daily_wage_laborer,0.1444,14,3,5,8,90.58,2.67,4,0.2857,2,-731.34,0.0708,1017.67,1
PK000120,SadaPay,daily_wage_laborer,0.3556,37,11,4,19,168.9,6.33,3,0.0811,2,-462.67,0.3816,997.21,0
PK000121,NayaPay,rickshaw_driver,0.3,29,7,0,21,150.83,7.0,3,0.1034,2,221.4,1.9633,1047.33,0
PK000122,NayaPay,small_shopkeeper,0.2,19,10,1,7,57.38,2.33,3,0.1579,2,690.85,1.7167,1994.07,0
PK000123,Easypaisa,domestic_worker,0.4222,43,14,0,25,176.32,8.33,2,0.0465,1,86.14,1.1969,1061.23,0
PK000124,Easypaisa,street_vendor,0.3111,32,13,0,15,102.89,5.0,3,0.0938,2,47.33,1.0774,1030.66,0
PK000125,NayaPay,street_vendor,0.3111,37,10,7,17,133.7,5.67,5,0.1351,2,-518.17,0.4759,1121.62,1
PK000126,JazzCash,daily_wage_laborer,0.2778,32,11,0,12,115.82,4.0,6,0.1875,2,-153.69,0.8143,1232.96,0
PK000127,JazzCash,delivery_rider,0.2556,25,4,0,14,134.53,4.67,2,0.08,1,-204.78,0.754,1483.0,0
PK000128,SadaPay,delivery_rider,0.2444,26,5,0,16,123.18,5.33,2,0.0769,1,143.45,1.2373,1432.8,0
PK000129,Easypaisa,delivery_rider,0.3333,37,15,0,16,146.02,5.33,3,0.0811,1,117.2,1.1418,1406.72,0
PK000130,JazzCash,small_shopkeeper,0.2667,28,9,8,17,119.98,5.67,4,0.1429,2,30.26,1.0537,1327.04,0
PK000131,Easypaisa,street_vendor,0.3889,45,16,2,26,187.39,8.67,7,0.1556,3,-201.41,0.7199,1120.37,0
PK000132,JazzCash,street_vendor,0.2778,28,9,2,12,84.99,4.0,3,0.1071,2,-153.47,0.7824,1246.0,0
PK000133,SadaPay,rickshaw_driver,0.2667,29,6,0,19,147.28,6.33,2,0.069,1,-681.39,0.2496,1152.11,1
PK000134,Easypaisa,rickshaw_driver,0.2,22,6,9,9,95.23,3.0,3,0.1364,1,-681.86,0.4815,1612.52,0
PK000135,NayaPay,delivery_rider,0.1444,13,4,11,6,118.52,2.0,5,0.3846,2,-695.46,0.4281,1799.93,0
PK000136,NayaPay,street_vendor,0.2556,26,7,0,13,77.52,4.33,4,0.1538,2,-772.9,0.1507,1221.77,1
PK000137,SadaPay,daily_wage_laborer,0.3667,40,17,0,27,162.04,9.0,4,0.1,2,-372.61,0.4499,1060.3,0
PK000138,JazzCash,daily_wage_laborer,0.4111,46,11,2,24,152.98,8.0,7,0.1522,3,-278.66,0.6306,1119.05,0
PK000139,SadaPay,small_shopkeeper,0.3333,34,10,1,16,126.08,5.33,8,0.2353,3,-583.29,0.4879,1623.6,0
PK000140,Easypaisa,daily_wage_laborer,0.2889,32,12,0,13,150.19,4.33,6,0.1875,2,-625.15,0.4806,1467.08,1
PK000141,NayaPay,domestic_worker,0.3667,42,14,0,26,147.42,8.67,4,0.0952,2,-107.04,0.8024,1103.36,0
PK000142,Easypaisa,delivery_rider,0.1889,20,9,0,8,92.89,2.67,3,0.15,2,648.18,2.0448,1377.39,0
PK000143,JazzCash,delivery_rider,0.1778,18,4,1,10,83.47,3.33,6,0.3333,2,-909.86,0.1459,1480.68,0
PK000144,NayaPay,delivery_rider,0.2889,29,12,0,10,91.36,3.33,5,0.1724,2,-536.33,0.4634,1230.28,0
PK000145,SadaPay,street_vendor,0.2556,27,7,1,12,100.39,4.0,6,0.2222,3,-266.13,0.7052,1364.57,0
PK000146,JazzCash,domestic_worker,0.3778,41,18,1,22,96.34,7.33,5,0.122,2,-199.2,0.5924,785.79,0
PK000147,NayaPay,daily_wage_laborer,0.4111,54,19,2,27,130.07,9.0,4,0.0741,3,-118.82,0.8198,878.29,0
PK000148,NayaPay,domestic_worker,0.4444,49,13,1,28,159.11,9.33,6,0.1224,3,210.82,1.5655,939.88,0
PK000149,JazzCash,delivery_rider,0.3556,42,13,0,22,167.8,7.33,3,0.0714,2,164.92,1.2719,1086.98,0
PK000150,Easypaisa,domestic_worker,0.2667,30,10,3,12,114.48,4.0,2,0.0667,1,91.16,1.1679,824.09,0
PK000151,SadaPay,delivery_rider,0.1222,12,2,2,3,66.65,1.0,4,0.3333,2,-203.45,0.834,1441.56,0
PK000152,Easypaisa,domestic_worker,0.3444,35,13,2,12,118.65,4.0,4,0.1143,2,309.72,1.5848,1038.95,0
PK000153,SadaPay,delivery_rider,0.1333,14,9,0,7,86.9,2.33,4,0.2857,2,477.69,2.289,1346.62,0
PK000154,NayaPay,domestic_worker,0.2,23,9,1,9,79.27,3.0,3,0.1304,1,-236.43,0.7364,1449.64,0
PK000155,SadaPay,delivery_rider,0.3111,34,13,2,23,141.65,7.67,2,0.0588,2,-54.34,0.9122,1341.32,0
PK000156,SadaPay,street_vendor,0.2444,24,4,7,7,85.09,2.33,2,0.0833,1,248.93,1.4468,1072.79,0
PK000157,NayaPay,street_vendor,0.3222,39,15,3,17,102.18,5.67,7,0.1795,3,-310.59,0.6576,1171.47,0
PK000158,NayaPay,street_vendor,0.3556,36,14,2,21,153.22,7.0,4,0.1111,2,-72.43,0.883,1235.27,0
PK000159,SadaPay,daily_wage_laborer,0.3556,45,18,0,18,159.99,6.0,6,0.1333,3,-157.73,0.8082,944.51,0
PK000160,NayaPay,daily_wage_laborer,0.5111,57,20,1,37,149.41,12.33,6,0.1053,3,-109.3,0.8004,992.99,0
PK000161,SadaPay,daily_wage_laborer,0.3556,38,16,0,18,145.24,6.0,7,0.1842,3,-140.71,0.7751,1074.39,0
PK000162,JazzCash,daily_wage_laborer,0.2444,26,7,16,20,136.58,6.67,3,0.1154,2,-116.26,0.6835,822.28,0
PK000163,Easypaisa,small_shopkeeper,0.3111,34,11,2,17,166.38,5.67,2,0.0588,1,-203.9,0.8018,1583.45,0
PK000164,Easypaisa,delivery_rider,0.2667,29,12,2,15,74.46,5.0,4,0.1379,2,-165.17,0.7903,1291.07,0
PK000165,SadaPay,domestic_worker,0.2,20,4,0,16,137.93,5.33,1,0.05,1,-95.08,0.5632,399.91,0
PK000166,NayaPay,domestic_worker,0.2889,31,12,2,19,172.38,6.33,5,0.1613,2,86.63,1.2151,945.59,0
PK000167,JazzCash,street_vendor,0.2333,28,7,7,13,100.71,4.33,5,0.1786,2,-945.53,0.1446,1004.28,0
PK000168,Easypaisa,rickshaw_driver,0.2333,21,9,2,8,105.57,2.67,5,0.2381,2,-378.23,0.5958,1350.39,0
PK000169,SadaPay,small_shopkeeper,0.2,24,7,3,10,129.86,3.33,2,0.0833,2,-62.93,0.942,1635.21,0
PK000170,NayaPay,domestic_worker,0.3333,39,17,1,20,175.59,6.67,3,0.0769,1,-134.73,0.7559,778.28,0
PK000171,JazzCash,daily_wage_laborer,0.2667,29,14,0,18,113.53,6.0,4,0.1379,3,-638.0,0.1177,883.7,1
PK000172,Easypaisa,daily_wage_laborer,0.2444,26,5,4,12,84.96,4.0,5,0.1923,3,146.65,1.3341,1088.59,0
PK000173,Easypaisa,domestic_worker,0.4222,51,17,4,29,193.2,9.67,4,0.0784,3,-118.47,0.7696,710.11,0
PK000174,JazzCash,street_vendor,0.2667,29,3,9,10,69.88,3.33,6,0.2069,2,-627.34,0.4169,1115.65,0
PK000175,NayaPay,street_vendor,0.3667,41,15,5,19,140.25,6.33,7,0.1707,3,214.02,1.4056,994.79,0
PK000176,SadaPay,small_shopkeeper,0.3111,33,15,3,10,95.87,3.33,6,0.1818,3,-417.55,0.7004,1835.33,1
PK000177,Easypaisa,street_vendor,0.3889,40,14,2,21,152.97,7.0,5,0.125,2,-183.34,0.7189,1112.79,0
PK000178,NayaPay,delivery_rider,0.2556,26,12,0,7,76.76,2.33,3,0.1154,1,449.91,1.5642,1364.32,0
PK000179,Easypaisa,domestic_worker,0.1889,23,7,3,9,75.8,3.0,5,0.2174,2,-524.91,0.4699,956.98,0
PK000180,Easypaisa,rickshaw_driver,0.4222,50,16,4,29,179.43,9.67,5,0.1,3,-2.15,0.9966,1099.67,0
PK000181,Easypaisa,street_vendor,0.2556,27,8,0,10,125.91,3.33,1,0.037,1,-145.52,0.7721,881.9,0
PK000182,SadaPay,delivery_rider,0.3333,34,14,0,17,174.05,5.67,3,0.0882,2,-275.96,0.7115,1487.27,1
PK000183,JazzCash,delivery_rider,0.2667,28,12,0,10,121.47,3.33,4,0.1429,3,201.39,1.2537,1561.37,0
PK000184,Easypaisa,small_shopkeeper,0.3889,43,22,0,25,153.31,8.33,4,0.093,2,449.84,1.6974,1764.14,0
PK000185,NayaPay,daily_wage_laborer,0.3444,35,9,0,15,153.65,5.0,4,0.1143,2,120.85,1.2055,1150.33,0
PK000186,JazzCash,small_shopkeeper,0.2556,28,11,5,19,145.48,6.33,5,0.1786,3,-507.52,0.4449,1459.47,1
PK000187,Easypaisa,domestic_worker,0.4333,47,17,0,26,173.64,8.67,3,0.0638,1,-250.37,0.6316,1182.51,0
PK000188,Easypaisa,daily_wage_laborer,0.2889,32,8,3,19,110.67,6.33,0,0.0,0,185.83,1.4955,853.99,1
PK000189,Easypaisa,domestic_worker,0.2111,22,8,0,16,98.12,5.33,3,0.1364,2,-577.27,0.1252,1003.91,0
PK000190,SadaPay,daily_wage_laborer,0.4667,68,30,0,47,199.03,15.67,4,0.0588,2,-237.79,0.6436,863.41,1
PK000191,SadaPay,delivery_rider,0.2222,22,11,3,13,95.08,4.33,2,0.0909,1,143.0,1.2019,1913.34,0
PK000192,Easypaisa,daily_wage_laborer,0.2222,20,5,2,9,79.99,3.0,3,0.15,1,-37.94,0.9407,1361.42,0
PK000193,SadaPay,street_vendor,0.3889,43,14,0,20,135.72,6.67,3,0.0698,1,-393.56,0.5737,1391.84,1
PK000194,SadaPay,delivery_rider,0.4111,43,15,6,21,119.61,7.0,4,0.093,3,-154.63,0.8065,1457.95,0
PK000195,NayaPay,domestic_worker,0.3889,46,17,1,25,163.61,8.33,5,0.1087,2,-423.07,0.4227,866.28,0
PK000196,SadaPay,daily_wage_laborer,0.4222,48,16,0,25,138.69,8.33,6,0.125,3,-383.65,0.453,914.15,0
PK000197,JazzCash,rickshaw_driver,0.3667,38,11,4,18,182.6,6.0,3,0.0789,2,105.49,1.1755,1183.92,0
PK000198,NayaPay,small_shopkeeper,0.4333,45,15,0,29,169.5,9.67,2,0.0444,2,-48.58,0.9378,1732.92,0
PK000199,SadaPay,street_vendor,0.2667,25,8,8,9,97.1,3.0,2,0.08,2,303.25,1.6518,1072.46,0
PK000200,NayaPay,street_vendor,0.2333,25,5,8,13,110.29,4.33,1,0.04,1,-0.34,0.9993,949.18,0
PK000201,JazzCash,rickshaw_driver,0.1778,18,9,2,7,70.62,2.33,2,0.1111,1,-1378.82,0.179,1561.28,0
PK000202,Easypaisa,street_vendor,0.1222,12,6,4,7,89.61,2.33,4,0.3333,2,-534.82,0.0964,630.92,1
PK000203,JazzCash,small_shopkeeper,0.3222,31,14,0,18,137.65,6.0,3,0.0968,1,659.63,2.1981,1944.64,0
PK000204,SadaPay,daily_wage_laborer,0.2667,28,11,1,11,90.41,3.67,8,0.2857,3,-496.6,0.4581,1071.95,0
PK000205,Easypaisa,rickshaw_driver,0.1889,18,2,2,10,74.21,3.33,1,0.0556,1,729.76,5.7196,1091.18,1
PK000206,Easypaisa,domestic_worker,0.2333,24,11,1,12,76.66,4.0,3,0.125,2,-820.63,0.0912,1157.51,1
PK000207,JazzCash,street_vendor,0.3222,33,10,1,16,150.49,5.33,6,0.1818,2,-191.08,0.732,1137.04,0
